season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Play in,Nidalee,34,89.5,23,11,6,7,4,63.6,3.18,2.36,7.0,4.31,220.91,6.57,12.2,362.0,13900.0,415.0,72.7,22.7,20.4
10,Play in,Lillia,33,86.8,17,16,6,5,11,31.3,2.69,3.25,6.75,2.9,210.88,6.47,11.3,348.0,14900.0,459.0,76.6,21.8,20.4
10,Play in,Orianna,33,86.8,22,11,8,10,1,90.9,4.55,1.91,8.55,6.86,301.09,8.91,14.8,438.0,20800.0,614.0,81.4,28.2,23.6
10,Play in,Ornn,33,86.8,22,11,6,10,1,90.9,2.82,1.27,10.45,10.43,218.09,6.81,11.7,366.0,13700.0,429.0,74.1,15.7,19.7
10,Play in,Graves,29,76.3,12,17,8,12,5,70.6,4.06,1.29,6.29,8.0,212.65,6.9,11.7,380.0,10600.0,344.0,69.8,27.4,20.8
10,Play in,Renekton,27,71.1,16,11,6,5,6,45.5,2.0,3.0,3.55,1.85,256.45,7.81,12.3,375.0,10300.0,315.0,51.7,18.6,21.6
10,Play in,Sett,26,68.4,11,15,9,6,9,40.0,1.87,2.73,5.93,2.85,197.4,5.89,10.9,324.0,9700.0,290.0,56.8,13.6,18.7
10,Play in,Leona,25,65.8,7,18,6,9,9,50.0,0.78,2.78,6.39,2.58,35.72,1.12,7.1,223.0,3900.0,122.0,60.8,6.6,12.8
10,Play in,Camille,24,63.2,11,13,8,7,6,53.8,3.0,3.08,5.31,2.7,269.08,8.01,13.3,396.0,14300.0,425.0,54.3,19.6,22.1
10,Play in,Lucian,23,60.5,18,5,4,3,2,60.0,4.2,3.0,3.8,2.67,282.8,8.96,13.4,424.0,16800.0,533.0,66.7,35.0,24.1
10,Play in,Nautilus,22,57.9,11,11,6,4,7,36.4,0.82,4.18,6.18,1.67,37.18,1.13,7.2,219.0,4400.0,134.0,56.2,6.6,13.0
10,Play in,Senna,21,55.3,6,15,7,7,8,46.7,1.6,2.33,8.13,4.17,184.4,5.71,10.6,327.0,12000.0,370.0,76.4,12.6,19.1
10,Play in,Shen,21,55.3,15,6,3,4,2,66.7,3.83,2.5,8.67,5.0,218.5,6.95,11.3,359.0,12200.0,387.0,75.8,23.2,20.4
10,Play in,Rakan,19,50.0,6,13,8,8,5,61.5,0.31,1.46,10.46,7.37,39.62,1.26,7.3,234.0,4200.0,133.0,78.7,2.2,13.1
10,Play in,Ezreal,18,47.4,5,13,7,8,5,61.5,4.77,2.38,6.31,4.65,275.46,8.07,13.7,400.0,23700.0,695.0,69.2,29.8,22.9
10,Play in,Alistar,18,47.4,7,11,8,9,2,81.8,1.27,2.82,11.27,4.45,33.0,1.0,8.1,245.0,5000.0,152.0,66.3,6.7,13.3
10,Play in,Ashe,18,47.4,8,10,6,2,8,20.0,1.9,2.9,4.3,2.14,298.9,9.07,13.0,393.0,15700.0,476.0,66.7,20.4,23.7
10,Play in,Twitch,18,47.4,10,8,6,4,4,50.0,4.13,2.75,5.88,3.64,273.75,8.46,13.1,404.0,15500.0,480.0,69.6,28.7,22.8
10,Play in,Bard,17,44.7,12,5,4,2,3,40.0,1.4,2.4,11.2,5.25,50.6,1.42,8.5,239.0,6700.0,187.0,78.8,8.8,13.8
10,Play in,Syndra,16,42.1,7,9,5,5,4,55.6,4.0,3.0,7.33,3.78,296.67,9.07,13.9,424.0,21400.0,656.0,67.5,23.8,23.8
10,Play in,Twisted Fate,16,42.1,9,7,3,4,3,57.1,3.14,1.86,7.86,5.92,284.0,8.64,14.5,442.0,13800.0,420.0,80.2,22.9,23.9
10,Play in,Caitlyn,15,39.5,11,4,3,2,2,50.0,5.75,2.25,5.25,4.89,258.75,9.47,13.2,482.0,17700.0,647.0,75.9,39.7,26.5
10,Play in,Jhin,14,36.8,2,12,7,8,4,66.7,3.42,1.58,6.67,6.37,281.5,8.66,13.5,414.0,15600.0,479.0,70.3,23.8,23.0
10,Play in,Galio,14,36.8,5,9,4,2,7,22.2,1.89,3.67,5.0,1.88,216.56,7.34,9.8,333.0,10600.0,360.0,68.1,18.7,20.4
10,Play in,Hecarim,14,36.8,8,6,4,3,3,50.0,2.67,3.33,4.5,2.15,217.67,6.6,11.4,346.0,9700.0,295.0,62.3,23.2,20.2
10,Play in,Azir,14,36.8,10,4,2,2,2,50.0,2.25,3.25,5.5,2.38,252.75,8.04,11.7,371.0,12100.0,385.0,58.5,17.0,21.7
10,Play in,Zoe,12,31.6,5,7,6,2,5,28.6,2.14,2.43,6.14,3.41,255.0,7.52,11.9,351.0,20200.0,597.0,68.2,17.6,21.0
10,Play in,Akali,12,31.6,11,1,1,0,1,0.0,0.0,4.0,4.0,1.0,222.0,7.33,9.2,305.0,12400.0,411.0,50.0,0.0,19.2
10,Play in,Wukong,11,28.9,1,10,4,4,6,40.0,3.2,3.1,5.1,2.68,239.0,7.49,12.0,376.0,12600.0,394.0,66.9,25.8,22.1
10,Play in,Volibear,11,28.9,5,6,3,2,4,33.3,2.67,3.0,5.0,2.56,233.0,7.04,11.8,356.0,12400.0,376.0,63.9,22.2,20.6
10,Play in,Mordekaiser,10,26.3,6,4,3,1,3,25.0,4.75,3.5,3.5,2.36,244.75,7.41,12.6,382.0,17100.0,519.0,67.3,38.8,22.6
10,Play in,Kalista,10,26.3,9,1,1,0,1,0.0,2.0,2.0,1.0,1.5,286.0,9.88,11.9,411.0,9600.0,333.0,100.0,66.7,26.2
