,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
172,4,Main,Ahq_eSports_Club,GarnetDevil,7,3,4,42.9,2.57,4.14,6.14,2.1,256.57,7.21,12.2,342.0,57.0,16.8,22.3
173,4,Main,Ahq_eSports_Club,GreenTea,7,3,4,42.9,1.43,4.43,7.71,2.06,29.0,0.82,7.8,219.0,59.8,9.3,14.2
174,4,Main,Ahq_eSports_Club,NAZ,7,3,4,42.9,2.71,2.86,5.0,2.7,96.29,2.71,9.1,257.0,50.5,17.8,16.7
175,4,Main,Ahq_eSports_Club,Prydz,7,3,4,42.9,3.14,5.0,6.0,1.83,226.14,6.36,11.5,323.0,59.8,20.6,21.0
176,4,Main,Ahq_eSports_Club,westdoor,7,3,4,42.9,5.43,3.57,5.14,2.96,304.29,8.55,14.1,397.0,69.2,35.5,25.8
177,4,Main,Alliance,Froggen,6,3,3,50.0,4.0,1.67,4.5,5.1,346.5,8.9,15.2,390.0,66.2,31.2,24.4
178,4,Main,Alliance,Nyph,6,3,3,50.0,0.67,2.17,7.17,3.62,30.0,0.77,9.1,232.0,61.0,5.2,14.5
179,4,Main,Alliance,Shook,6,3,3,50.0,3.0,2.17,5.5,3.92,124.67,3.2,10.7,275.0,66.2,23.4,17.2
180,4,Main,Alliance,Tabzz,6,3,3,50.0,3.5,1.5,4.33,5.22,304.83,7.83,14.1,362.0,61.0,27.3,22.6
181,4,Main,Alliance,Wickd,6,3,3,50.0,1.67,1.5,6.33,5.33,286.0,7.34,13.3,342.0,62.3,13.0,21.4
182,4,Main,Cloud9,Balls,11,5,6,45.5,2.18,3.64,5.55,2.13,226.55,6.17,11.9,324.0,59.9,16.9,20.1
183,4,Main,Cloud9,Hai,11,5,6,45.5,3.55,5.0,4.91,1.69,268.36,7.31,13.1,356.0,65.5,27.5,22.0
184,4,Main,Cloud9,LemonNation,11,5,6,45.5,0.27,2.73,9.0,3.4,27.27,0.74,9.5,258.0,71.8,2.1,16.0
185,4,Main,Cloud9,Meteos,11,5,6,45.5,2.45,2.27,4.55,3.08,132.36,3.61,10.9,296.0,54.2,19.0,18.3
186,4,Main,Cloud9,Sneaky,11,5,6,45.5,4.45,2.27,4.55,3.96,281.64,7.67,14.0,380.0,69.7,34.5,23.5
187,4,Main,Dark_Passage,Crystal,6,0,6,0.0,0.33,4.67,1.17,0.32,95.33,3.18,6.6,219.0,45.0,10.0,17.2
188,4,Main,Dark_Passage,fabFabulous,6,0,6,0.0,0.5,4.0,1.33,0.46,187.0,6.24,8.0,268.0,55.0,15.0,21.0
189,4,Main,Dark_Passage,HolyPhoenix,6,0,6,0.0,2.17,3.33,0.67,0.85,228.67,7.63,9.7,322.0,85.0,65.0,25.2
190,4,Main,Dark_Passage,Naru,6,0,6,0.0,0.17,4.0,1.0,0.29,231.0,7.71,8.7,289.0,35.0,5.0,22.6
191,4,Main,Dark_Passage,Touch,6,0,6,0.0,0.17,4.67,2.17,0.5,20.67,0.69,5.4,180.0,70.0,5.0,14.1
192,4,Main,EDward_Gaming,Clearlove,12,6,6,50.0,3.08,2.83,7.25,3.65,124.08,3.43,11.1,307.0,63.6,19.0,18.3
193,4,Main,EDward_Gaming,Fzzf,12,6,6,50.0,0.75,3.08,9.5,3.32,29.58,0.82,8.8,243.0,63.1,4.6,14.5
194,4,Main,EDward_Gaming,Koro1,12,6,6,50.0,3.67,3.08,6.92,3.43,241.92,6.68,12.9,355.0,65.1,22.6,21.2
195,4,Main,EDward_Gaming,NaMei,12,6,6,50.0,3.83,2.83,6.83,3.76,285.67,7.89,14.1,390.0,65.6,23.6,23.3
196,4,Main,EDward_Gaming,U,12,6,6,50.0,4.92,2.25,5.75,4.74,282.67,7.81,13.8,381.0,65.6,30.3,22.8
197,4,Main,Fnatic,Cyanide,6,2,4,33.3,1.17,3.0,6.67,2.61,107.67,2.41,11.0,247.0,61.0,9.1,16.0
198,4,Main,Fnatic,Rekkles,6,2,4,33.3,6.83,1.67,2.5,5.6,417.0,9.32,18.5,413.0,72.7,53.2,26.9
199,4,Main,Fnatic,sOAZ,6,2,4,33.3,1.33,3.33,6.5,2.35,226.17,5.06,13.0,290.0,61.0,10.4,18.9
200,4,Main,Fnatic,xPeke,6,2,4,33.3,3.5,3.33,4.67,2.45,357.0,7.98,16.1,360.0,63.6,27.3,23.4
